№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
103,,Билибино,Чукотский АО,Дальневосточный,5504,1955,1993,Каральваам  (до 1956)
104,,Биробиджан,Еврейская АО,Дальневосточный,75419,1915,1931,Тихонькая  (до 1931)
105,,Бирск,Башкортостан,Приволжский,41637,1663,1781,Архангельское
106,,Бирюсинск,Иркутская область,Сибирский,8981,1897,1967,Суетиха  (до 1967)
107,,Бирюч,Белгородская область,Центральный,7842,1705,1779,Будённый  (с 1919 до 1958); Красногвардейское  (с 1958 до 2007)
108,,Благовещенск,Башкортостан,Приволжский,34246,1756,1941,Благовещенский завод  (до 1941)
109,,Благовещенск,Амурская область,Дальневосточный,214397,1856,1858,Усть-Зейская  (до 1858); Благовещенская  (до 1858)
110,,Благодарный,Ставропольский край,Северо-Кавказский,32736,1782,1971,Солдатское
111,,Бобров,Воронежская область,Центральный,19738,1698,1711,
112,,Богданович,Свердловская область,Уральский,31752,1885,1947,
113,,Богородицк,Тульская область,Центральный,31897,1663,1777,
114,,Богородск,Нижегородская область,Приволжский,25497,1561,1923,Богородское  (до 1923)
115,,Боготол,Красноярский край,Сибирский,21029,1893,1911,
116,,Богучар,Воронежская область,Центральный,11811,1704,1779,
117,,Бодайбо,Иркутская область,Сибирский,15331,1864,1903,
118,,Бокситогорск,Ленинградская область,Северо-Западный,16593,1929,1950,Бокситы  (до 1935)
119,,Болгар,Татарстан,Приволжский,8650,1781,1552,Булгар ; Спасск  (до 1935); Куйбышев  (до 1991)
120,,Бологое,Тверская область,Центральный,23499,1495,1918,
121,,Болотное,Новосибирская область,Сибирский,16969,1805,1943,
122,,Болохово,Тульская область,Центральный,9619,XVI век,1943,
123,,Болхов,Орловская область,Центральный,11421,1196,1778,
124,,Большой Камень,Приморский край,Дальневосточный,39257,1947,1989,Стройка УНР-261  (до 1956)
125,,Бор,Нижегородская область,Приволжский,78079,XIV век,1938,
126,,Борзя,Забайкальский край,Сибирский,31376,1899,1950,
127,,Борисоглебск,Воронежская область,Центральный,65585,1698,1779,Новопавловск  (до 1704)
128,,Боровичи,Новгородская область,Северо-Западный,54731,XV век,1770,
129,,Боровск,Калужская область,Центральный,12283,1358,1358,
130,,Бородино,Красноярский край,Сибирский,17423,1949,1981,
131,,Братск,Иркутская область,Сибирский,246348,1631,1955,"Брацк ,  Братско-Острожное ,  Братское"
132,,Бронницы,Московская область,Центральный,21102,1453,1781,Броничи
133,,Брянск,Брянская область,Центральный,415640,985,985,Дебрянск
134,,Бугульма,Татарстан,Приволжский,89144,1736,1781,
135,,Бугуруслан,Оренбургская область,Приволжский,52249,1748,1781,
136,,Будённовск,Ставропольский край,Северо-Кавказский,64628,1799,1799,"Святой Крест  (до 1921); Прикумск  (до 1935, с 1957 до 1973)"
