№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
666,,Новокузнецк,Кемеровская область,Сибирский,547885,1618,1622,Кузнецкий острог  (до 1622); Кузнецк-Сибирский  (до 1931); Сталинск  (с 1932 до 1961)
667,,Новокуйбышевск,Самарская область,Приволжский,108449,1946,1952,Липяги
668,,Новомичуринск,Рязанская область,Центральный,19309,1968,1981,
669,,Новомосковск,Тульская область,Центральный,131227,1930,1930,Бобрики  (до 1933); Сталиногорск  (до 1961)
670,,Новопавловск,Ставропольский край,Северо-Кавказский,26556,1777,1981,Новопавловская  (до 1981)
671,,Новоржев,Псковская область,Северо-Западный,3695,1777,1777,"Ржева ,  Ржева Пустая ,  Аршо"
672,,Новороссийск,Краснодарский край,Южный,241788,1838,1866,
673,,Новосибирск,Новосибирская область,Сибирский,1498921,1893,1903,Александровский  (до 1895); Ново-Николаевский  (до 1903); Ново-Николаевск  (до 1926)
674,,Новосиль,Орловская область,Центральный,3799,1155,1777,
675,,Новосокольники,Псковская область,Северо-Западный,8119,1901,1925,
676,,Новотроицк,Оренбургская область,Приволжский,97914,1920,1945,Ново-Троицк
677,,Новоузенск,Саратовская область,Приволжский,17015,1760,1835,"Чертанла ,  Новый Узень"
678,,Новоульяновск,Ульяновская область,Приволжский,16032,1957,1967,Кременки
679,,Новоуральск,Свердловская область,Уральский,91813,1941,1954,Свердловск-44  (до 1994)
680,,Новохопёрск,Воронежская область,Центральный,6849,1710,1779,
681,,Новочебоксарск,Чувашия,Приволжский,124094,1960,1965,Спутник  (до 1965)
682,,Новочеркасск,Ростовская область,Южный,169039,1805,1805,
683,,Новошахтинск,Ростовская область,Южный,111087,1910,1939,
684,,Новый Оскол,Белгородская область,Центральный,19530,1637,1647,Царёв-Алексеев  (до 1655)
685,,Новый Уренгой,Ямало-Ненецкий АО,Уральский,104144,1975,1980,
686,,Ногинск,Московская область,Центральный,99762,1389,1781,Рогож  (до 1781); Богородск  (до 1930)
687,,Нолинск,Кировская область,Приволжский,9556,1668,1780,Молотовск  (с 1940 по 1957)
688,,Норильск,Красноярский край,Сибирский,175301,1935,1953,
689,,Ноябрьск,Ямало-Ненецкий АО,Уральский,110572,1976,1982,Ноябрьский  (до 1979)
690,,Нурлат,Татарстан,Приволжский,32600,1905,1961,Нурлат-Октябрьский
691,,Нытва,Пермский край,Приволжский,19041,1756,1942,
692,,Нюрба,Якутия,Дальневосточный,10156,1824,1997,
693,,Нягань,Ханты-Мансийский АО — Югра,Уральский,54903,1965,1985,Нях  (до 1985)
694,,Нязепетровск,Челябинская область,Уральский,12452,1747,1944,"Нязе-Петровский завод ,  Нязе-Петровск"
695,,Няндома,Архангельская область,Северо-Западный,22354,1898,1939,
696,,Облучье,Еврейская АО,Дальневосточный,9379,1911,1915,Сололи  (до 1915)
697,,Обнинск,Калужская область,Центральный,104798,1946,1956,
698,,Обоянь,Курская область,Центральный,13562,1639,1779,
699,,Обь,Новосибирская область,Сибирский,26137,1934,1969,
700,,Одинцово,Московская область,Центральный,139021,1470,1957,
701,,Озёрск,Калининградская область,Северо-Западный,4740,1539,1726,Даркемен  (до 1938); Ангерапп  (до 1946)
702,,Озёрск,Челябинская область,Уральский,82268,1945,1954,База-10  (до 1954); Челябинск-40  (до 1966); Челябинск-65  (до 1994)
703,,Озёры,Московская область,Центральный,25788,1834,1925,Озерки
704,,Октябрьск,Самарская область,Приволжский,27244,1684,1956,Батраки
705,,Октябрьский,Башкортостан,Приволжский,109379,1937,1946,Соцгород  (до 1946)
706,,Окуловка,Новгородская область,Северо-Западный,12464,1851,1965,
707,,Олёкминск,Якутия,Дальневосточный,9487,1635,1783,
708,,Оленегорск,Мурманская область,Северо-Западный,23079,1949,1957,Оленья  (до 1957)
709,,Олонец,Карелия,Северо-Западный,9060,1137,1649,
710,,Омск,Омская область,Сибирский,1154000,1716,1782,"Омский острог ,  Омская крепость"
711,,Омутнинск,Кировская область,Приволжский,23618,1773,1921,"Осокино ,  Омутная"
712,,Онега,Архангельская область,Северо-Западный,21359,1137,1780,Устье Онежское  (до 1780); Онег  (до 1784)
713,,Опочка,Псковская область,Северо-Западный,11601,1414,1412,
714,,Орёл,Орловская область,Центральный,317854,1566,1566,
715,,Оренбург,Оренбургская область,Приволжский,570329,1743,1743,Чкалов  (с 1938 по 1957)
716,,Орехово-Зуево,Московская область,Центральный,120620,1917,1917,
717,,Орлов,Кировская область,Приволжский,6959,1459,1780,Халтурин  (с 1923 по 1992)
718,,Орск,Оренбургская область,Приволжский,238006,1735,1865,Оренбург  ( с 1735 до 1741)
719,,Оса,Пермский край,Приволжский,22420,1591,1737,
720,,Осинники,Кемеровская область,Сибирский,45997,1926,1938,Осиновка
721,,Осташков,Тверская область,Центральный,18073,XIV век,1770,Кличен
722,,Остров,Псковская область,Северо-Западный,21670,1341,1341,
723,,Островной,Мурманская область,Северо-Западный,2177,1611,1981,Йоканьгский погост  (до 1920); Йоканьга  (до 1938); Гремиха  (до 1981); Мурманск-140  (до 1992)
724,,Острогожск,Воронежская область,Центральный,33842,1652,1765,
725,,Отрадное,Ленинградская область,Северо-Западный,23874,1708,1970,"Ивановское ,  Медное ,  Пелла"
726,,Отрадный,Самарская область,Приволжский,47709,1920-е,1956,
727,,Оха,Сахалинская область,Дальневосточный,23007,1908,1938,Охэ
728,,Оханск,Пермский край,Приволжский,7597,1547,1781,
729,,Очёр,Пермский край,Приволжский,15003,1759,1950,
730,,Павлово,Нижегородская область,Приволжский,60699,1566,1922,Павлов Острог
731,,Павловск,Воронежская область,Центральный,25126,1709,1779,Осеред  (до 1711)
732,,Павловский Посад,Московская область,Центральный,63771,1328,1844,Павлово  (до 1844)
733,,Палласовка,Волгоградская область,Южный,15984,1907,1967,
734,,Партизанск,Приморский край,Дальневосточный,38648,1896,1932,Сучанский Рудник  (до 1932); Сучан  (до 1972)
735,,Певек,Чукотский АО,Дальневосточный,4161,1933,1967,
736,,Пенза,Пензенская область,Приволжский,519592,1663,1663,
737,,Первомайск,Нижегородская область,Приволжский,14567,XIX век,1951,Ташино  (1951)
738,,Первоуральск,Свердловская область,Уральский,149800,1732,1933,Васильевско-Шайтанский  (до 1920)
739,,Перевоз,Нижегородская область,Приволжский,9201,1593,2001,
740,,Пересвет,Московская область,Центральный,14142,1948,2000,Новостройка  (до 2000)
741,,Переславль-Залесский,Ярославская область,Центральный,41923,1152,1152,Переяславль
742,,Пермь,Пермский край,Приволжский,1000679,1723,1781,Егошихинский починок  (до 1723); Егошихинский медеплавильный завод  (до 1781); Молотов  (с 1940 до 1957)
743,,Пестово,Новгородская область,Северо-Западный,15911,1918,1965,
744,,Петров Вал,Волгоградская область,Южный,13264,1942,1988,
745,,Петровск,Саратовская область,Приволжский,31158,1698,1780,
746,,Петровск-Забайкальский,Забайкальский край,Сибирский,18555,1789,1926,Петровский Завод  (до 1926)
747,,Петрозаводск,Карелия,Северо-Западный,263540,1703,1777,Шуйский Завод  (с 1703 до 1704); Петровская слобода  (с 1704 до 1744)
748,,Петропавловск-Камчатский,Камчатский край,Дальневосточный,179526,1740,1812,Петропавловская гавань  (до 1849); Петропавловский Порт  (до 1924)
749,,Петухово,Курганская область,Уральский,11291,1779,1944,Юдино  (до 1944)
750,,Петушки,Владимирская область,Центральный,15167,1861,1965,Новые Петушки
751,,Печора,Коми,Северо-Западный,43458,1940,1949,
752,,Печоры,Псковская область,Северо-Западный,12308,1473,1782,Печеры  (до 1920); Петсери  (с 1920 до 1940)
753,,Пикалёво,Ленинградская область,Северо-Западный,21567,1620,1954,
754,,Пионерский,Калининградская область,Северо-Западный,11017,1254,1952,Нойкурен  (до 1946)
755,,Питкяранта,Карелия,Северо-Западный,11484,XIX век,1940,"Деревня на Долгом берегу ,  Питкерандо"
756,,Плавск,Тульская область,Центральный,16248,1563,1949,Сергиевское  (до 1926)
757,,Пласт,Челябинская область,Уральский,17344,1845,1940,
758,,Плёс,Ивановская область,Центральный,2341,1410,1925,
759,,Поворино,Воронежская область,Центральный,17692,1870,1954,
760,,Подольск,Московская область,Центральный,187956,1559,1781,
761,,Подпорожье,Ленинградская область,Северо-Западный,18729,1936,1956,
762,,Покачи,Ханты-Мансийский АО — Югра,Уральский,17053,1984,1992,
763,,Покров,Владимирская область,Центральный,17762,1506,1778,
764,,Покровск,Якутия,Дальневосточный,9495,1682,1997,
765,,Полевской,Свердловская область,Уральский,64316,1718,1942,Полевской завод
766,,Полесск,Калининградская область,Северо-Западный,7580,1258,1642,Лабиау  (до 1946)
767,,Полысаево,Кемеровская область,Сибирский,27624,1952,1989,
768,,Полярные Зори,Мурманская область,Северо-Западный,15106,1968,1991,
769,,Полярный,Мурманская область,Северо-Западный,17304,1896,1939,Александровск  (до 1931); Полярное  (до 1939)
770,,Поронайск,Сахалинская область,Дальневосточный,16461,1869,1946,Тихменевский  (до 1905); Сисука  (до 1946)
771,,Порхов,Псковская область,Северо-Западный,10608,1239,1239,
772,,Похвистнево,Самарская область,Приволжский,28181,1888,1947,
773,,Почеп,Брянская область,Центральный,17933,1447,1925,
774,,Починок,Смоленская область,Центральный,8776,1868,1926,
775,,Пошехонье,Ярославская область,Центральный,6085,1680,1777,Пертома  (до 1777); Пошехонье  (до 1918); Пошехонье-Володарск  (до 1992)
776,,Правдинск,Калининградская область,Северо-Западный,4323,1312,1335,Фридланд  (до 1946)
777,,Приволжск,Ивановская область,Центральный,16749,1484,1938,Яковлевское  (до 1924); Яковлевский  (до 1938)
778,,Приморск,Калининградская область,Северо-Западный,1956,1268,2008,Фишхаузен  (до 1946)
779,,Приморск,Ленинградская область,Северо-Западный,6122,1268,1940,Берёзовское  (до 1323); Бьёрке  (до 1709); Берёзовое  (до 1920); Койвисто  (до 1948)
780,,Приморско-Ахтарск,Краснодарский край,Южный,32253,1854,1949,"Ахтарский ,  Приморско-Ахтарская"
781,,Приозерск,Ленинградская область,Северо-Западный,18929,XII век,1310,"Корела  (до 1580, с 1595 до 1611); Кексгольм  (с 1580 до 1595, с 1611 до 1918, с 1940 до 1948); Кякисалми  (с 1918 до 1940)"
782,,Прокопьевск,Кемеровская область,Сибирский,210150,1650,1931,Монастырское
783,,Пролетарск,Ростовская область,Южный,20267,XVII век,1970,Великокняжеская  (до 1925); Пролетарская  (до 1970)
784,,Протвино,Московская область,Центральный,37308,1960,1989,Серпухов-7
785,,Прохладный,Кабардино-Балкария,Северо-Кавказский,59595,1765,1937,Прохладная  (до 1937)
786,,Псков,Псковская область,Северо-Западный,203974,903,903,Плесков
787,,Пугачёв,Саратовская область,Приволжский,41705,1764,1835,Николаевск  (до 1918)
788,,Пудож,Карелия,Северо-Западный,9698,1382,1785,
789,,Пустошка,Псковская область,Северо-Западный,4619,1901,1925,
790,,Пучеж,Ивановская область,Центральный,8583,1594,1793,
791,,Пушкино,Московская область,Центральный,102840,1499,1925,
792,,Пущино,Московская область,Центральный,20263,1956,1966,
793,,Пыталово,Псковская область,Северо-Западный,5826,1782,1933,Яунлатгале  (с 1925 до 1938); Абрене  (до 1945)
794,,Пыть-Ях,Ханты-Мансийский АО — Югра,Уральский,41453,1968,1990,
795,,Пятигорск,Ставропольский край,Северо-Кавказский,142397,1780,1830,"Горячие Воды ,  Константиногорск"
796,,Радужный,Владимирская область,Центральный,18212,1971,1991,Владимир-30
797,,Радужный,Ханты-Мансийский АО — Югра,Уральский,43394,1973,1985,
798,,Райчихинск,Амурская область,Дальневосточный,20499,1932,1944,Райчиха
799,,Раменское,Московская область,Центральный,96355,1328,1926,Раменье
800,,Рассказово,Тамбовская область,Центральный,45484,1698,1926,
801,,Ревда,Свердловская область,Уральский,61713,1734,1935,
802,,Реж,Свердловская область,Уральский,38709,1773,1943,
803,,Реутов,Московская область,Центральный,87195,1492,1940,Реутово  (до 1940)
804,,Ржев,Тверская область,Центральный,62026,1216,1216,"Ржева Володимирова ,  Ржевка ,  Ржов"
805,,Родники,Ивановская область,Центральный,26318,1606,1918,
806,,Рославль,Смоленская область,Центральный,54898,1137,1755,Ростиславль
807,,Россошь,Воронежская область,Центральный,62865,XVII век,1923,
808,,Ростов-на-Дону,Ростовская область,Южный,1091544,1749,1807,"Темерницкая таможня ,  Темерницкое городище"
809,,Ростов,Ярославская область,Центральный,31791,862,862,
810,,Рошаль,Московская область,Центральный,21265,1916,1940,Крестов Брод  (до 1917)
811,,Ртищево,Саратовская область,Приволжский,41295,1666,1925,Покровское  (до 1723)
812,,Рубцовск,Алтайский край,Сибирский,146386,1892,1927,Рубцово  (до 1922)
813,,Рудня,Смоленская область,Центральный,10029,1363,1926,
814,,Руза,Московская область,Центральный,13495,1328,1781,
815,,Рузаевка,Мордовия,Приволжский,47529,1631,1973,
816,,Рыбинск,Ярославская область,Центральный,200771,1071,1777,Усть-Шексна  (до 1504); Рыбная слобода  (до 1777); Щербаков  (с 1946 до 1957); Андропов  (с 1984 до 1989)
817,,Рыбное,Рязанская область,Центральный,18378,1597,1961,
818,,Рыльск,Курская область,Центральный,15667,1152,XII век,
819,,Ряжск,Рязанская область,Центральный,21676,1502,1778,Рясское Поле
820,,Рязань,Рязанская область,Центральный,525062,1095,1095,Переяславль-Рязанский  (до 1778)
821,,Саки Оспаривается,Крым,Южный,25146,1952,1952,Сак
822,,Салават,Башкортостан,Приволжский,156085,1948,1954,Новострой
823,,Салаир,Кемеровская область,Сибирский,8263,1626,1941,
824,,Салехард,Ямало-Ненецкий АО,Уральский,42494,1595,1938,Обдорск  (до 1933)
825,,Сальск,Ростовская область,Южный,61312,1812,1926,Торговая  (до 1918); Торговый  (до 1926)
826,,Самара,Самарская область,Приволжский,1164900,1586,1688,Куйбышев  (с 1935 по 1991)
827,,Санкт-Петербург,Санкт-Петербург,Северо-Западный,4848742,1703,1703,Петроград  (с 1914 до 1924); Ленинград  (до 1991)
828,,Саранск,Мордовия,Приволжский,318841,1641,1780,Саранский Острожек
829,,Сарапул,Удмуртия,Приволжский,101390,1621,1780,Вознесенское  (до 1707)
830,,Саратов,Саратовская область,Приволжский,836900,1590,1590,
831,,Саров,Нижегородская область,Приволжский,92073,1691,1954,Арзамас-75  (до 1966); Арзамас-16  (до 1994); Кремлёвск  (до 1995)
832,,Сасово,Рязанская область,Центральный,28117,1642,1926,
833,,Сатка,Челябинская область,Уральский,45465,1758,1758,
834,,Сафоново,Смоленская область,Центральный,46116,1859,1952,
835,,Саяногорск,Хакасия,Сибирский,49889,1830,1975,Означенное  (до 1975)
836,,Саянск,Иркутская область,Сибирский,40786,1970,1985,
837,,Светлогорск,Калининградская область,Северо-Западный,10775,1258,1947,Раушен  (до 1947)
838,,Светлоград,Ставропольский край,Северо-Кавказский,38520,1786,1965,Петровское  (до 1965)
839,,Светлый,Калининградская область,Северо-Западный,21380,1640,1955,Циммербуде  (до 1947)
840,,Светогорск,Ленинградская область,Северо-Западный,15973,1887,1949,Энсо  (до 1949)
841,,Свирск,Иркутская область,Сибирский,13649,XIX век,1949,"Заимка Черниговская ,  Свирская ,  Свирское"
842,,Свободный,Амурская область,Дальневосточный,58594,1912,1912,Алексеевск  (до 1917)
843,,Себеж,Псковская область,Северо-Западный,6375,1414,1772,
844,,Севастополь Оспаривается,Севастополь,Южный,393304,1783,1783,"Акъяр  (до 1783); Ахтиар  ( с 1783 до 1784, с 1797 до 1826)"
845,,Северо-Курильск,Сахалинская область,Дальневосточный,2381,1875,1946,Касивабара  (до 1946)
846,,Северобайкальск,Бурятия,Сибирский,23673,1974,1980,
847,,Северодвинск,Архангельская область,Северо-Западный,192265,1936,1938,Судострой  (до 1938); Молотовск  (до 1957)
848,,Североморск,Мурманская область,Северо-Западный,50076,1896,1951,Ваенга  (до 1951)
849,,Североуральск,Свердловская область,Уральский,29279,1758,1944,Петропавловский  (до 1944)
850,,Северск,Томская область,Сибирский,108466,1949,1954,"Почтовый ящик N° 5 ,  Берёзки ,  Томск-7"
851,,Севск,Брянская область,Центральный,7282,1146,1146,
852,,Сегежа,Карелия,Северо-Западный,29660,1914,1943,
853,,Сельцо,Брянская область,Центральный,17933,1870-е,1990,
854,,Семёнов,Нижегородская область,Приволжский,24472,1644,1779,
855,,Семикаракорск,Ростовская область,Южный,23884,1672,1972,"Семикаракорская ,  Семикаракоры"
856,,Семилуки,Воронежская область,Центральный,26025,1615,1954,
857,,Сенгилей,Ульяновская область,Приволжский,6959,1666,1943,Покровское  (до 1780)
858,,Серафимович,Волгоградская область,Южный,9368,1589,1933,Усть-Медведицкая  (до 1933)
859,,Сергач,Нижегородская область,Приволжский,21387,1649,1779,
860,,Сергиев Посад,Московская область,Центральный,110878,1337,1919,Сергиев  (до 1930); Загорск  (до 1991)
861,,Сердобск,Пензенская область,Приволжский,35393,1698,1780,
862,,Серов,Свердловская область,Уральский,99381,1893,1919,"Надеждинск  (до 1943, с 1937 до 1939); Кабаковск  (с 1934 до 1937)"
863,,Серпухов,Московская область,Центральный,126496,1339,1374,
864,,Сертолово,Ленинградская область,Северо-Западный,47854,1936,1988,"Сиротала ,  Сертолла ,  Серталово ,  Серполово"
865,,Сибай,Башкортостан,Приволжский,62732,1925,1955,Сибаевский рудник
866,,Сим,Челябинская область,Уральский,14465,1759,1942,Симский завод  (до 1928)
867,,Симферополь Оспаривается,Крым,Южный,332317,1784,1784,
868,,Сковородино,Амурская область,Дальневосточный,9561,1908,1927,Змеиный  (до 1909); Невер-1  (до 1911); Рухлово  (до 1938)
869,,Скопин,Рязанская область,Центральный,30374,1676,1778,
870,,Славгород,Алтайский край,Сибирский,30370,1910,1914,
871,,Славск,Калининградская область,Северо-Западный,4614,1292,1946,Хайнрихсвальде  (до 1947)
872,,Славянск-на-Кубани,Краснодарский край,Южный,63768,1865,1958,"Ло-Копа ,  Ени-Копыл ,  Славянская"
873,,Сланцы,Ленинградская область,Северо-Западный,33587,1934,1949,
874,,Слободской,Кировская область,Приволжский,33983,1505,1780,
875,,Слюдянка,Иркутская область,Сибирский,18542,1899,1936,
876,,Смоленск,Смоленская область,Центральный,326863,863,863,
877,,Снежинск,Челябинская область,Уральский,48896,1955,1957,Жилой посёлок № 2  (до 1957); Касли-2  (до 1959); Челябинск-50  (до 1966); Челябинск-70  (до 1993)
878,,Снежногорск,Мурманская область,Северо-Западный,12698,1970,1980,Вьюжный  (до 1980); Мурманск-60  (до 1994)
879,,Собинка,Владимирская область,Центральный,19482,1858,1939,
880,,Советск,Калининградская область,Северо-Западный,41709,1288,1552,Тильзит  (до 1946)
881,,Советск,Кировская область,Приволжский,16592,XII век,1937,Кукарка  (до 1918)
882,,Советск,Тульская область,Центральный,7537,1949,1954,Никольское
883,,Советская Гавань,Хабаровский край,Дальневосточный,27712,1853,1941,Константиновский пост  (до 1856); Императорская Гавань  (до 1923); Знаменское  (до 1930)
884,,Советский,Ханты-Мансийский АО — Югра,Уральский,26434,1963,1996,
885,,Сокол,Вологодская область,Северо-Западный,38454,1615,1932,Соколово
886,,Солигалич,Костромская область,Центральный,6438,1335,1778,Соль Галичьская
887,,Соликамск,Пермский край,Приволжский,97239,1430,1573,"Соль Камская ,  Усолье Камское"
888,,Солнечногорск,Московская область,Центральный,52996,XVIII век,1938,Солнечная Гора  (до 1928); Солнечногорский  (до 1938)
889,,Соль-Илецк,Оренбургская область,Приволжский,26308,1754,1865,Илецк  (до 1926); Илецкое  (до 1935); Илецкая Защита  (до 1945)
890,,Сольвычегодск,Архангельская область,Северо-Западный,2460,1492,1708,"Усолье ,  Усольск ,  Соль-Вычегодская"
891,,Сольцы,Новгородская область,Северо-Западный,10317,1390,1914,
892,,Сорочинск,Оренбургская область,Приволжский,30136,1737,1945,
893,,Сорск,Хакасия,Сибирский,12140,1940,1966,Сора  (до 1966)
894,,Сортавала,Карелия,Северо-Западный,19215,1468,1783,Сердоболь  (до 1918)
895,,Сосенский,Калужская область,Центральный,12394,1952,1991,"Ленинский ,  Шепелевский"
896,,Сосновка,Кировская область,Приволжский,11960,1699,1962,
897,,Сосновоборск,Красноярский край,Сибирский,33090,1971,1985,
898,,Сосновый Бор,Ленинградская область,Северо-Западный,65901,1958,1973,
899,,Сосногорск,Коми,Северо-Западный,27809,1939,1955,Ижма  (до 1957)
900,,Сочи,Краснодарский край,Южный,343285,1838,1917,
901,,Спас-Деменск,Калужская область,Центральный,4904,1446,1917,
902,,Спас-Клепики,Рязанская область,Центральный,5917,XVI век,1920,"Клепиково ,  Спасское"
903,,Спасск,Пензенская область,Приволжский,7442,XVII век,1779,Богданово  (до 1673); Богданово-Спасское  (с 1673 по 1779); Беднодемьяновск  (с 1925 по 2005)
904,,Спасск-Дальний,Приморский край,Дальневосточный,44166,1886,1917,Спасское  (до 1917); Спасск-Приморский  (до 1929)
905,,Спасск-Рязанский,Рязанская область,Центральный,7745,1629,1778,Спасск  (до 1929)
906,,Среднеколымск,Якутия,Дальневосточный,3525,1643,1775,"Ярмонга ,  Ярманка"
907,,Среднеуральск,Свердловская область,Уральский,20357,1931,1966,Посёлок СУГРЭС
908,,Сретенск,Забайкальский край,Сибирский,6850,1689,1926,
909,,Ставрополь,Ставропольский край,Северо-Кавказский,398266,1777,1785,Ставрополь-Кавказский  (до 1935); Ворошиловск  (до 1943)
910,,Старая Купавна,Московская область,Центральный,21859,XIV век,2004,
911,,Старая Русса,Новгородская область,Северо-Западный,32235,1167,1167,Руса
912,,Старица,Тверская область,Центральный,8610,1297,1297,"Городок ,  Городеск"
913,,Стародуб,Брянская область,Центральный,19010,1080,1080,
914,,Старый Крым Оспаривается,Крым,Южный,9277,XIII век,,"Кырым ,  Солхат ,  Левкополь"
915,,Старый Оскол,Белгородская область,Центральный,221163,1593,1593,Оскол  (до 1655)
916,,Стерлитамак,Башкортостан,Приволжский,273432,1766,1782,
917,,Стрежевой,Томская область,Сибирский,42216,1966,1978,
918,,Строитель,Белгородская область,Центральный,23933,1958,2000,
919,,Струнино,Владимирская область,Центральный,14372,1492,1938,
920,,Ступино,Московская область,Центральный,66942,1938,1938,Электровоз  (до 1938)
921,,Суворов,Тульская область,Центральный,18975,1949,1954,Суворовский  (до 1954)
922,,Судак Оспаривается,Крым,Южный,16492,212,,"Солдая ,  Сугдея ,  Сидагиос ,  Сурож"
923,,Суджа,Курская область,Центральный,6036,XVI век,1664,
924,,Судогда,Владимирская область,Центральный,11848,1552,1778,
925,,Суздаль,Владимирская область,Центральный,10535,999,999,
926,,Сунжа,Ингушетия,Северо-Кавказский,64493 [3],1845,2016,Сунженская  (до 1852); Слепцовская  (до 1939); Орджоникидзевская  (до 2016)
927,,Суоярви,Карелия,Северо-Западный,9763,XVI век,1940,Шуезерск
928,,Сураж,Брянская область,Центральный,11640,1700 XVII век,1781,Суражичи  (до 1781)
929,,Сургут,Ханты-Мансийский АО — Югра,Уральский,306703,1594,1965,
930,,Суровикино,Волгоградская область,Южный,20527,1744,1966,
931,,Сурск,Пензенская область,Приволжский,7032,1849,1953,Никольский Хутор  (до 1953)
932,,Сусуман,Магаданская область,Дальневосточный,5865,1938,1964,
933,,Сухиничи,Калужская область,Центральный,16295,XVIII век,1840,
934,,Сухой Лог,Свердловская область,Уральский,34836,1710,1943,
935,,Сызрань,Самарская область,Приволжский,178773,1683,1796,
936,,Сыктывкар,Коми,Северо-Западный,235006,1780,1780,Усть-Сысольск  (до 1930)
937,,Сысерть,Свердловская область,Уральский,20594,1732,1946,
938,,Сычёвка,Смоленская область,Центральный,8111,1488,1776,
939,,Сясьстрой,Ленинградская область,Северо-Западный,13747,1926,1922,Сясьские Рядки
940,,Тавда,Свердловская область,Уральский,35421,1910,1937,"Посёлок суконной фабрики Ушкова ,  Каратуновка"
941,,Таганрог,Ростовская область,Южный,257692,1698,1775,
942,,Тайга,Кемеровская область,Сибирский,25330,1896,1911,
943,,Тайшет,Иркутская область,Сибирский,35481,1897,1938,
944,,Талдом,Московская область,Центральный,13819,1677,1918,Ленинск  (с 1918 до 1931)
945,,Талица,Свердловская область,Уральский,18339,1732,1942,
946,,Тамбов,Тамбовская область,Центральный,280457,1636,1719,Танбов
947,,Тара,Омская область,Сибирский,26664,1594,1594,
948,,Тарко-Сале,Ямало-Ненецкий АО,Уральский,20372,1932,2004,
949,,Таруса,Калужская область,Центральный,9656,1246,1776,
950,,Татарск,Новосибирская область,Сибирский,26114,1894,1911,
951,,Таштагол,Кемеровская область,Сибирский,23114,1939,1963,
952,,Тверь,Тверская область,Центральный,403726,1135,1139,Калинин  (с 1932 до 1990)
953,,Теберда,Карачаево-Черкесия,Северо-Кавказский,9097,1868,1971,
954,,Тейково,Ивановская область,Центральный,34993,XVII век,1918,
955,,Темников,Мордовия,Приволжский,7247,XII век,1536,
956,,Темрюк,Краснодарский край,Южный,38014,1860,1860,
957,,Терек,Кабардино-Балкария,Северо-Кавказский,19170,1876,1967,Муртазово  (до 1920)
958,,Тетюши,Татарстан,Приволжский,11596,1578,1781,
959,,Тимашёвск,Краснодарский край,Южный,53921,1794,1966,
960,,Тихвин,Ленинградская область,Северо-Западный,58843,1383,1773,
961,,Тихорецк,Краснодарский край,Южный,61825,1895,1926,Тихорецкий
962,,Тобольск,Тюменская область,Уральский,99698,1587,1590,"Тоболеск-Ладейный ,  Тоболеск"
963,,Тогучин,Новосибирская область,Сибирский,21531,1867,1945,
964,,Тольятти,Самарская область,Приволжский,719484,1737,1780,Ставрополь  (до 1964)
965,,Томари,Сахалинская область,Дальневосточный,4537,1870,1946,Томариору  (до 1946)
966,,Томмот,Якутия,Дальневосточный,8054,1923,1923,
967,,Томск,Томская область,Сибирский,522940,1604,1604,
968,,Топки,Кемеровская область,Сибирский,28642,1914,1933,
969,,Торжок,Тверская область,Центральный,47702,IX - X века,1135,Новый Торг
970,,Торопец,Тверская область,Центральный,13018,1074,1074,
971,,Тосно,Ленинградская область,Северо-Западный,39127,1500,1963,"Тосна ,  Ям-Тосна"
972,,Тотьма,Вологодская область,Северо-Западный,9784,1137,1780,"Соль Тотемская ,  Усолье Тотемское"
973,,Трёхгорный,Челябинская область,Уральский,33678,1952,1955,"Златоуст-20 ,  Златоуст-36"
974,,Троицк,Челябинская область,Уральский,78637,1743,1784,
975,,Трубчевск,Брянская область,Центральный,15014,975,975,"Трубеч ,  Трубецк"
976,,Туапсе,Краснодарский край,Южный,63233,1838,1916,"Вельяминовская ,  Вельяминовка"
977,,Туймазы,Башкортостан,Приволжский,66849,1912,1960,Туймаза
978,,Тула,Тульская область,Центральный,501129,1146,1146,
979,,Тулун,Иркутская область,Сибирский,44603,1735,1927,
980,,Туран,Тыва,Сибирский,4988,1885,1945,
981,,Туринск,Свердловская область,Уральский,17990,1600,1600,Епанчин
982,,Тутаев,Ярославская область,Центральный,41001,XIII век,1822,Романов-Борисоглебск  (до 1918)
983,,Тында,Амурская область,Дальневосточный,35574,1907,1975,Тындинское  (до 1937); Тындинский  (до 1974)
984,,Тырныауз,Кабардино-Балкария,Северо-Кавказский,21000,1934,1955,Гирхожан  (до 1937); Нижний Баксан  (до 1955)
985,,Тюкалинск,Омская область,Сибирский,12050,1759,1823,Тюкала
986,,Тюмень,Тюменская область,Уральский,581758,1586,1586,Чинги-Тура
987,,Уварово,Тамбовская область,Центральный,26829,1699,1966,
988,,Углегорск,Сахалинская область,Дальневосточный,11880,XX век,1946,Эсутору  (до 1946)
989,,Углич,Ярославская область,Центральный,34505,1148,1148,
990,,Удачный,Якутия,Дальневосточный,12611,1967,1987,
991,,Удомля,Тверская область,Центральный,31048,1478,1981,
992,,Ужур,Красноярский край,Сибирский,16079,1760,1953,Усул
993,,Узловая,Тульская область,Центральный,55282,1873,1938,Хрущёвская  (до 1877)
994,,Улан-Удэ,Бурятия,Сибирский,431922,1666,1690,Удинское зимовье  (до 1680); Удинский острог  (до 1690); Удинск  (до 1735); Верхнеудинск  (до 1934)
